exp_id,dataset,timestamp,kge_model,ans_recall@5,ans_recall@10,ans_recall@30,ans_recall@50,ans_recall@100,ans_recall@200,ans_recall@400,shortest_path_triple_recall@5,shortest_path_triple_recall@10,shortest_path_triple_recall@30,shortest_path_triple_recall@50,shortest_path_triple_recall@100,shortest_path_triple_recall@200,shortest_path_triple_recall@400,gpt_triple_recall@5,gpt_triple_recall@10,gpt_triple_recall@30,gpt_triple_recall@50,gpt_triple_recall@100,gpt_triple_recall@200,gpt_triple_recall@400
webqsp_Sep01-11:08:34,webqsp,2025-09-01 14:44:29,none,0.6755,0.7623,0.8748,0.9083,0.9464,0.9742,0.9894,0.5368,0.6533,0.7915,0.842,0.8971,0.9403,0.9733,0.5136,0.6448,0.784,0.8306,0.8793,0.9272,0.9662
webqsp_Sep01-20:27:44,webqsp,2025-09-02 20:04:55,none,0.6701,0.77,0.8787,0.9127,0.9537,0.9779,0.9901,0.5393,0.6567,0.7958,0.8433,0.901,0.9427,0.9728,0.5135,0.6443,0.7834,0.8291,0.8878,0.9319,0.9644
webqsp_Sep01-20:39:43,webqsp,2025-09-02 20:05:02,none,0.6777,0.7714,0.8777,0.9083,0.9485,0.9737,0.9885,0.5438,0.6586,0.7938,0.8447,0.9004,0.9421,0.9729,0.5216,0.6415,0.7773,0.8213,0.8799,0.9259,0.9624
webqsp_Sep01-21:17:50,webqsp,2025-09-02 20:05:10,none,0.6656,0.7614,0.874,0.9125,0.9501,0.9781,0.9904,0.5331,0.6525,0.7895,0.8424,0.8987,0.9407,0.9716,0.5043,0.6318,0.7757,0.8224,0.8746,0.9201,0.9564
webqsp_Sep01-21:52:46_patient_5,webqsp,2025-09-02 20:05:19,none,0.5943,0.7113,0.8454,0.8914,0.942,0.9703,0.9881,0.5057,0.6204,0.7692,0.8266,0.8838,0.9316,0.9655,0.4744,0.5984,0.7498,0.8009,0.857,0.9083,0.9495
webqsp_Sep02-01:05:29_patient_10,webqsp,2025-09-02 20:05:25,none,0.6614,0.7625,0.8745,0.9144,0.9493,0.9738,0.9898,0.5385,0.6533,0.7907,0.8422,0.8981,0.9402,0.9721,0.5198,0.6377,0.7756,0.8293,0.8827,0.9267,0.963
webqsp_Sep02-10:04:01_patient_3,webqsp,2025-09-02 20:05:32,none,0.6275,0.74,0.8468,0.8888,0.9385,0.9687,0.9891,0.5017,0.6247,0.7681,0.8238,0.8863,0.9306,0.9661,0.4911,0.6216,0.7634,0.8124,0.8727,0.915,0.9544
webqsp_Sep02-10:04:49_patient_10_drop,webqsp,2025-09-02 20:05:38,none,0.041,0.0617,0.1245,0.1733,0.2875,0.4185,0.5519,0.0029,0.0053,0.013,0.0207,0.0403,0.073,0.1168,0.0028,0.0041,0.0114,0.0172,0.0367,0.0722,0.124
webqsp_Sep02-11:11:48_patient_10_ES,webqsp,2025-09-02 20:05:43,none,0.4961,0.6126,0.7722,0.837,0.898,0.9423,0.9769,0.394,0.5187,0.6896,0.7605,0.8377,0.8981,0.948,0.3557,0.4861,0.6615,0.7281,0.8017,0.8649,0.9231
webqsp_Sep02-11:16:16_patient_10_drop,webqsp,2025-09-02 20:05:47,none,0.5959,0.7088,0.8356,0.8784,0.9302,0.9658,0.9848,0.4652,0.5724,0.7209,0.7828,0.8536,0.9083,0.9533,0.4244,0.5407,0.691,0.7537,0.8238,0.8837,0.9319
webqsp_freq_weight_Sep01-21:27:59,webqsp,2025-09-02 20:05:52,none,0.6561,0.7566,0.8697,0.908,0.9498,0.9761,0.9897,0.5338,0.6485,0.7939,0.844,0.8989,0.9416,0.9724,0.5164,0.6387,0.7767,0.8286,0.8821,0.9277,0.9649
webqsp_freq_weight_Sep01-21:52:48_patient_5,webqsp,2025-09-02 20:05:59,none,0.615,0.7286,0.8537,0.8997,0.9455,0.9717,0.9878,0.5122,0.6312,0.7749,0.8344,0.8912,0.9352,0.9683,0.479,0.607,0.7635,0.8144,0.8745,0.9213,0.9609
webqsp_freq_weight_Sep02-01:05:30_patient_10,webqsp,2025-09-02 20:06:04,none,0.6649,0.7601,0.8652,0.9063,0.9464,0.9751,0.989,0.5419,0.6628,0.7941,0.8439,0.9003,0.941,0.9717,0.5218,0.6453,0.7819,0.8318,0.8844,0.9289,0.9628
webqsp_freq_weight_Sep02-10:04:02_patient_3,webqsp,2025-09-02 20:06:11,none,0.041,0.0617,0.1245,0.1733,0.2875,0.4185,0.5519,0.0029,0.0053,0.013,0.0207,0.0403,0.073,0.1168,0.0028,0.0041,0.0114,0.0172,0.0367,0.0722,0.124
webqsp_freq_weight_Sep02-11:11:55_patient_10_ES,webqsp,2025-09-02 20:06:16,none,0.4901,0.5995,0.7587,0.8276,0.9004,0.9476,0.9772,0.3935,0.5197,0.6884,0.7581,0.8427,0.9023,0.9476,0.3583,0.4896,0.6607,0.7229,0.8081,0.8704,0.9248
webqsp_freq_weight_Sep02-11:16:20_patient_10_drop,webqsp,2025-09-02 20:06:21,none,0.5774,0.6924,0.8367,0.8865,0.9375,0.9674,0.988,0.4796,0.602,0.7549,0.8106,0.8759,0.9222,0.9622,0.4537,0.5821,0.7461,0.8,0.8594,0.9078,0.9529
webqsp_Sep02-20:12:40_patient_10,webqsp,2025-09-04 18:10:56,none,0.6266,0.7413,0.8593,0.8985,0.9431,0.9741,0.9864,0.5114,0.6331,0.7746,0.829,0.8869,0.9343,0.9687,0.4743,0.5995,0.75,0.8026,0.8634,0.911,0.9531
webqsp_Sep08-21:07:47_webqsp_testing,webqsp,2025-09-08 23:49:35,none,0.6662,0.7633,0.8769,0.9191,0.9559,0.9778,0.9893,0.5384,0.6567,0.7967,0.8471,0.9028,0.9438,0.9744,0.5229,0.6477,0.7801,0.8293,0.8833,0.9299,0.9641
webqsp_freq_weight_Sep19-16:32:33_patient_10_drop,webqsp,2025-09-19 17:08:43,none,0.5516,0.6498,0.7782,0.8337,0.8947,0.9312,0.965,0.4933,0.5965,0.7246,0.7755,0.8377,0.8869,0.929,0.4584,0.5637,0.7037,0.7599,0.8235,0.8746,0.9215
webqsp_Sep22-10:34:13,webqsp,2025-09-22 11:46:28,none,0.5166,0.6185,0.7566,0.8142,0.8785,0.9292,0.9633,0.4081,0.5128,0.6753,0.744,0.8233,0.8813,0.9302,0.3803,0.4857,0.6331,0.6958,0.7728,0.84,0.9067
webqsp_Sep22-11:07:38,webqsp,2025-09-22 11:52:31,none,0.5726,0.6653,0.7943,0.8463,0.9015,0.9412,0.9726,0.4443,0.5443,0.7017,0.7681,0.8399,0.8935,0.9387,0.4097,0.5117,0.655,0.7216,0.7966,0.8596,0.9176
webqsp_Sep22-12:10:29,webqsp,2025-09-22 13:36:18,none,0.5511,0.6455,0.777,0.8325,0.8907,0.9318,0.9651,0.4315,0.5341,0.6899,0.757,0.834,0.8874,0.934,0.3965,0.5014,0.6448,0.7084,0.786,0.8485,0.909
webqsp_inv_freq_weight_Sep23-02:43:43,webqsp,2025-09-23 03:01:45,none,0.3032,0.4106,0.6001,0.6783,0.7826,0.8734,0.9323,0.1993,0.3009,0.4991,0.579,0.6912,0.7995,0.8761,0.2081,0.3005,0.4785,0.5503,0.6456,0.7435,0.8307
webqsp_Sep19-17:18:31_kge_testing,webqsp,2025-09-24 20:19:47,none,0.076,0.1302,0.239,0.3086,0.4255,0.5879,0.7638,0.0439,0.0842,0.1807,0.2447,0.3513,0.5136,0.685,0.0457,0.0871,0.1765,0.2382,0.3372,0.4777,0.6417
webqsp_Sep19-17:23:25_kge_reg,webqsp,2025-09-24 20:19:55,none,0.076,0.1296,0.2399,0.3088,0.4257,0.5908,0.7657,0.0439,0.0841,0.182,0.2443,0.3512,0.5136,0.6857,0.0459,0.0871,0.1776,0.2375,0.3366,0.4772,0.6427
webqsp_Sep19-17:31:45_kge_reg,webqsp,2025-09-24 20:20:03,none,0.0772,0.1319,0.2415,0.3091,0.4289,0.5967,0.7642,0.044,0.0846,0.1859,0.2487,0.3613,0.5263,0.6925,0.0452,0.0875,0.1815,0.2415,0.3431,0.4871,0.6489
webqsp_Sep19-17:43:03_kge_reg,webqsp,2025-09-24 20:20:11,none,0.2342,0.3274,0.5178,0.604,0.7134,0.8237,0.9032,0.1721,0.2675,0.47,0.5597,0.6659,0.7744,0.8603,0.1763,0.2683,0.4364,0.5139,0.6042,0.704,0.7935
webqsp_spcount_Sep23-13:34:39,webqsp,2025-09-24 20:21:51,none,0.5639,0.6584,0.7861,0.8386,0.894,0.9389,0.969,0.4309,0.5327,0.6936,0.7581,0.8323,0.889,0.9357,0.3943,0.5008,0.6476,0.7129,0.7891,0.8528,0.9106
webqsp_spcount_inv_Sep23-14:06:46,webqsp,2025-09-24 20:21:57,none,0.5491,0.6476,0.778,0.8328,0.8944,0.9357,0.9687,0.43,0.5329,0.6958,0.7605,0.8361,0.8913,0.9366,0.3976,0.5065,0.6523,0.717,0.794,0.8563,0.9139
webqsp_Sep24-21:22:35,webqsp,2025-09-24 22:00:21,none,0.5408,0.6391,0.7679,0.8257,0.8863,0.9319,0.9669,0.4312,0.5338,0.6947,0.7576,0.8325,0.8874,0.934,0.3969,0.504,0.6476,0.7115,0.7854,0.8465,0.9113
